id;price;region;street_name;room_count;total_square;floor;subway;max_floor;street_number;living_square;kitchen_square
1689;55000;Солом'янський;Липківского Василя вул. (Урицького);1;36;3;Вокзальна;14;31;20;8
1692;55000;Оболонський;Героїв Дніпра вул.;1;35,6;5;Героїв Дніпра;9;32-А;18;8,1
1694;95000;Подільський;Юрківська вул.;2;55;3;Тараса Шевченка;5;36/10;32;16
1697;72000;Оболонський;Героїв Дніпра вул.;2;51;9;Героїв Дніпра;9;20а;30;10
1698;35300;Подільський;Полкова вул.;1;26,6;9;Сирець;9;72;13,2;5,25
1702;150000;Дарницький;Срібнокільська вул.;2;94,4;11;Позняки;25;3-А;42,7;25,3
1703;164000;Шевченківський;Сікорського Ігоря вул. (Танкова);2;74;6;Берестейська;25;4;32;14
1704;600000;Печерський;Старонаводницька вул.;4;183;14;Печерська;18;13;102;23
1706;83000;Шевченківський;Берестейський просп. (Перемоги);2;53;16;Політехнічний інститут;36;11;20;15
1709;53000;Шевченківський;Павла Вірського бульв. (Саратовська);2;46;4;Берестейська;5;10;30;7
1710;55000;Голосіївський;Коломийський пров.;2;45,1;5;Васильківська;5;8;29,4;7,9
1711;129000;Печерський;Михайла Бойчука вул. (Кіквідзе);1;45;17;Видубичі;26;41;15;20
1712;52500;Голосіївський;Промениста;1;26;4;Деміївська;5;50;12;9
1713;142000;Шевченківський;Герета Джонса;2;44;18;Площа Українських Героїв;22;12;14;18
1714;93000;Шевченківський;Алли Горської пров. (Бєлінського Чеслава);3;64;3;Університет;5;10;44;6
1715;85000;Дарницький;Ревуцького вул.;3;76;15;Харківська;15;44;44;8
1716;55500;Солом'янський;Березова вул.;1;26;1;Васильківська;3;44;16;5
1718;160000;Солом'янський;Берестейський просп. (Перемоги);2;70;4;Шулявська;5;45;35;12
1719;95000;Шевченківський;Глибочицька вул.;2;71;18;Лук'янівська;22;13;37;12
1720;180000;Шевченківський;Кирило-Мефодіївська вул.;2;65;17;Політехнічний інститут;24;2;40;12
1723;81000;Оболонський;Героїв полку 'Азов' вул. (Малиновського маршала);1;40;7;Мінська;9;27/23;21;8
1724;36999;Голосіївський;Стельмаха Михайла вул.;1;26;4;Голосіївська;5;8;14;5
1725;89900;Шевченківський;Берестейський просп. (Перемоги);3;64;9;Політехнічний інститут;9;20;44,5;7,2
1726;110000;Голосіївський;Рудницького Степана вул. (Вільямса академіка);2;81,3;9;Іподром;11;9кор3;43,5;14,6
1728;158000;Печерський;Михайла Бойчука вул. (Кіквідзе);2;66,25;7;Звіринецька;11;17;40;18,45
1729;250000;Солом'янський;Мокра вул. (Кудряшова);3;156;25;Вокзальна;25;20б;90;25
1730;159000;Дніпровський;Євгена Маланюка вул. (Сагайдака Степана);3;118;2;Лівобережна;18;11;51;33
1731;85000;Голосіївський;Ясинуватський пров.;1;49;8;Деміївська;25;10;17,3;15,4
1732;299000;Дарницький;Зарічна вул.;2;96;26;Славутич;28;4к1;40;37
1734;65000;Дніпровський;Каховська вул.;1;33;25;Лівобережна;26;62а;20;10
1735;132000;Печерський;Михайла Бойчука вул. (Кіквідзе);1;45;7;Видубичі;26;41б;18;12
1736;350000;Святошинський;Пушиної Феодори вул.;5;236;23;Житомирська;24;23;116;17
1737;75000;Дарницький;Ахматової Анни вул.;1;56;17;Позняки;24;22;25;14
1738;90000;Святошинський;Клавдієвська вул.;4;80,5;4;Академмістечко;10;36;52;7,5
1739;120000;Дарницький;Гришка Михайла вул.;2;85;29;Позняки;32;9;41,5;15,3
1742;215000;Дніпровський;Євгена Сверстюка вул. (Раскової Марини);3;89;18;Лівобережна;25;6г;50;25
1743;209000;Голосіївський;Антоновича вул. (Горького);1;59;18;Палац Україна;25;109;18;24
1744;239000;Оболонський;Володимира Івасюка просп. (Героїв Сталінграда);3;120,6;5;Оболонь;12;8;56,5;26,2
1746;150000;Дарницький;Завльна;2;80;18;Осокорки;27;10г;41;20
1747;90000;Дарницький;Чавдар Єлизавети вул.;1;65;25;Осокорки;26;13;42;14
1748;249000;Дніпровський;Князя Романа Мстиславича вул. (Жмаченка генерала);3;96;24;Дарниця;26;28;70;24
1750;110000;Дарницький;Бориса Гмирі вул.;2;64;23;Позняки;25;14б;32;9,4
1754;122000;Голосіївський;Ясинуватський пров.;3;98;24;Деміївська;25;10;45;14
1756;60000;Солом'янський;Машинобудівна вул.;1;41;11;Берестейська;13;41;15;10
1757;72000;Дарницький;Дніпровська наб.;1;47;5;Славутич;35;15К;15;17
1758;101000;Голосіївський;Голосіївський просп. (40-річчя Жовтня);1;40;15;Голосіївська;25;76;11;17
1761;100000;Дарницький;Зарічна вул.;2;74;10;Славутич;30;16;28;28
1762;255000;Печерський;Фортечний тупик (Тверський);2;85;11;Печерська;12;7в;39;23
1764;122000;Печерський;Фортечний тупик (Тверський);1;58;7;Печерська;18;7б;22;18
1766;133000;Шевченківський;Шолуденка вул.;1;46,9;16;Політехнічний інститут;25;1а;13,2;22
1767;155000;Голосіївський;Васильківська вул.;2;70;10;Голосіївська;25;1;25;28
1769;99000;Дарницький;Ревуцького вул.;3;93;5;Харківська;25;40б;45;19
1770;120000;Дарницький;Ревуцького вул.;2;69;20;Харківська;25;40в;23;24
1771;160000;Печерський;Фортечний тупик (Тверський);2;70;5;Печерська;18;7в;32;17
1772;180000;Голосіївський;Глушкова академіка просп.;3;106;20;Іподром;25;9В;37;36
1773;190000;Шевченківський;Золотоустівська вул.;3;109;8;Вокзальна;19;25;52,3;16
1774;289000;Солом'янський;Липківского Василя вул. (Урицького);3;126;9;Вокзальна;25;37б;65;15
1776;72500;Дарницький;Дніпровська наб.;1;48;9;Славутич;26;15;15;17
1781;240604;Печерський;Старонаводницька вул.;3;85,93;24;Печерська;26;42-44;54,19;15,58
1782;760000;Печерський;Мечникова вул.;3;161;7;Кловська;11;11а;40;58
1783;95000;Шевченківський;Пимоненка Миколи вул.;2;58;15;Лук'янівська;25;21;17;23
1786;84000;Печерський;Василя Тютюнника вул. (Барбюса Анрі);2;57;5;Палац Україна;9;22/26;36;8
1787;368000;Печерський;Євгена Коновальця вул. (Щорса);3;98;3;Палац Україна;3;17;55,6;12
1788;68000;Дарницький;Причальна вул.;1;47;10;Славутич;26;5а;18,4;14,4
1791;60000;Солом'янський;Індустріальний пров.;1;50,14;12;Шулявська;21;2;15,1;19,9
1792;285000;Шевченківський;Берестейський просп. (Перемоги);3;129;12;Шулявська;22;42а;77;25
1793;185000;Шевченківський;Дмитрівська вул.;3;106;6;Лук'янівська;18;69;59,1;11,5
1794;63000;Дніпровський;Пантелеймона Куліша пл. (Луначарського);2;46;13;Лівобережна;16;19;28;9
1796;162000;Шевченківський;Дегтярівська вул.;1;47,4;20;Лук'янівська;25;17;12;20
1797;160000;Голосіївський;Рудницького Степана вул. (Вільямса академіка);3;117;3;Виставковий центр;18;5;80;17
1799;480000;Подільський;Воздвиженська вул.;3;125;2;Контрактова площа;5;29;72;40,3
1800;130000;Голосіївський;Антоновича вул. (Горького);3;70;11;Палац Україна;14;122;41;11
1801;984500;Печерський;Федорова Івана вул.;4;179;24;Олімпійська;26;2А;76;30
1802;230000;Печерський;Лабораторний пров.;2;71;5;Олімпійська;24;7;48;15
1803;90000;Солом'янський;Стадіонна вул.;2;93;14;Вокзальна;15;6А;59;20
1804;114900;Солом'янський;Генерала Шаповала вул. (Механізаторів);1;58;13;Вокзальна;28;2;10;31
1805;240000;Печерський;Мазепи Івана вул. (Січневого Повстання);2;90;6;Арсенальна;11;12-Б;45;25
1806;240000;Печерський;Ділова вул.;1;55;2;Олімпійська;25;1/2;15;21
1807;163000;Шевченківський;Січових Стрільців вул. (Артема);1;60;9;Лук'янівська;17;44-А;20;25
1808;77000;Шевченківський;Теліги Олени вул.;1;30,16;13;Дорогожичі;25;25;20;5
1809;530000;Печерський;Василя Тютюнника вул. (Барбюса Анрі);3;120;22;Палац Україна;24;37/1;56;35
1810;550000;Голосіївський;Деміївська вул.;3;104;9;Деміївська;21;29;36;35
1813;69000;Шевченківський;Тургенєвська вул.;2;46,6;2;Вокзальна;5;48;27;8
1814;95000;Оболонський;Богатирська вул.;3;94,7;10;Героїв Дніпра;20;6/1;52,43;10
1815;35000;Святошинський;Ушакова Миколи вул.;1;34;16;Академмістечко;16;2;17;9
1817;230000;Печерський;Бендукідзе Кахи вул.;3;66;5;Звіринецька;24;2;34;12
1818;150000;Шевченківський;Казармена вул. (Андрющенка Григорія);2;66;1;Лук'янівська;25;6г;31;13
1819;170000;Шевченківський;Казармена вул. (Андрющенка Григорія);2;77;1;Лук'янівська;25;6г;29;13
1821;54000;Оболонський;Володимира Івасюка просп. (Героїв Сталінграда);2;50;3;Героїв Дніпра;9;61;31;5
1822;98000;Шевченківський;Ростиславська  вул. (Рибалка маршала);1;47,55;7;Лук'янівська;11;5а;12,8;20,1
1823;66000;Шевченківський;Ростиславська  вул. (Рибалка маршала);1;31,35;7;Лук'янівська;11;5а;19,5;6
1825;195000;Шевченківський;Січових Стрільців вул. (Артема);4;95;3;Лук'янівська;5;55;60;7,2
1826;720000;Голосіївський;Паньківська вул.;4;256;2;Університет;7;8;95;100
1827;175000;Солом'янський;Липківского Василя вул. (Урицького);2;101;7;Вокзальна;18;18;52;19,3
1828;85000;Дарницький;Ревуцького вул.;2;72;5;Харківська;25;54А;35;12
1830;69000;Деснянський;Братиславська вул.;3;72;8;Чернігівська;9;40А;50;9
1831;77000;Дніпровський;Каховська вул.;1;36,4;13;Лівобережна;26;56;15,1;11,9
1832;89000;Печерський;Лаврська вул.;2;42;6;Дніпро;9;4;27;6
1833;253000;Шевченківський;Салютна вул.;4;122,6;7;Нивки;7;2;56,1;27
1834;78000;Подільський;Віктора Некрасова вул. (Північно-Сирецька);2;62;7;Сирець;25;57;25;17
1835;205000;Печерський;Предславинська вул.;2;82;17;Либідська;25;53;46,7;10
1837;260000;Шевченківський;Деревлянська вул. (Якіра);4;143,8;3;Лук'янівська;5;10а;83,3;24,5
1840;105000;Дарницький;Бажана Миколи просп.;3;95;2;Позняки;17;16;56,6;14,1
1841;215000;Печерський;Предславинська вул.;3;97,11;11;Палац Україна;18;35;49,26;20,25
1842;185000;Печерський;Предславинська вул.;2;83,52;11;Палац Україна;18;35;42,05;19,03
1843;399000;Печерський;Предславинська вул.;6;180,63;11;Палац Україна;18;35;110;19
1844;74000;Дарницький;Дніпровська наб.;1;47,59;7;Славутич;25;17;15,25;17,13
1845;330000;Шевченківський;Берестейський просп. (Перемоги);3;133,95;10;Шулявська;21;42-а;45;38,7
1847;125000;Печерський;Шота Руставелі вул.;1;40;3;Палац Спорту;5;26;25;10
1848;375000;Печерський;Бендукідзе Кахи вул.;3;138;22;Звіринецька;24;2;67;25
1849;146400;Дніпровський;Будівельників вул.;3;91,6;3;Дарниця;8;30;55;11,9
1852;65000;Дніпровський;Ентузіастів вул.;2;43;7;Гідропарк;9;3/1;26;7
1855;80000;Шевченківський;Жабаєва Жамбила вул. (Кузьминська);2;40;8;Сирець;8;7д;20;20
1856;83700;Голосіївський;Тадея Рильського бульв.;1;43,2;6;Теремки;8;302;13,8;17,3
1857;89000;Голосіївський;Братів Шеметів;1;45,6;7;Теремки;8;9;14,9;20
1858;85000;Дарницький;Княжий Затон вул.;2;56;3;Позняки;16;4А;30;12
1860;145000;Шевченківський;Ґарета Джонса вул. (Сім'ї Хохлових);2;45;18;Лук'янівська;25;6б;15;12
1861;99000;Шевченківський;Салютна вул.;2;30;14;Нивки;16;2;12;8
1863;142000;Шевченківський;Ґарета Джонса вул. (Сім'ї Хохлових);2;55;22;Лук'янівська;25;6б;17;12
1866;108000;Святошинський;Берестейський просп. (Перемоги);1;41,6;16;Нивки;17;67;10,1;21,5
1867;226950;Печерський;Андрія Верхогляда вул. (Драгомирова);1;89;13;Звіринецька;21;17;40;28
1868;195000;Голосіївський;Максимовича вул. (Трутенка Онуфрія);2;76,6;6;Васильківська;14;28б;37;24
1870;60000;Печерський;Михайла Бойчука вул. (Кіквідзе);2;40;1;Звіринецька;5;4а;24;6
1871;275000;Шевченківський;Алли Горської пров. (Бєлінського Чеслава);3;108;5;Університет;5;5;75;10
1872;109000;Шевченківський;Глибочицька вул.;3;99;11;Лук'янівська;28;43;56;18
1876;96000;Голосіївський;Наддніпрянське шосе;2;46;24;Видубичі;26;3;20;10
1877;100800;Голосіївський;Заболотного академіка вул.;3;63;33;Іподром;34;1А;28,9;14,8
1879;54320;Голосіївський;Лисогірський пров.;2;38,8;27;Видубичі;27;20;16,7;9,6
1880;40050;Голосіївський;Лисогірський пров.;2;26,7;27;Видубичі;27;20;12,8;6,8
1881;150000;Печерський;Євгена Коновальця вул. (Щорса);1;66;14;Печерська;30;19;17;22
1882;80000;Дарницький;Чавдар Єлизавети вул.;1;44;18;Осокорки;24;7а;18;12
1883;47000;Дніпровський;Сосюри Володимира вул.;2;57;7;Чернігівська;25;6;26;14
1884;60000;Деснянський;Мілютенка вул.;3;71;5;Чернігівська;9;15а;48;7
1886;96000;Солом'янський;Богданівська вул.;1;56,8;22;Вокзальна;25;7а;21,2;18,8
1889;850000;Печерський;Андрія Верхогляда вул. (Драгомирова);2;251;30;Звіринецька;30;11;60;47
1890;120000;Солом'янський;Івана Світличного вул. (Петровського);3;82;5;Політехнічний інститут;5;2;53;10
1891;104000;Дарницький;Бориса Гмирі вул.;5;110;14;Позняки;14;1/2;55;14
1892;140000;Оболонський;Оболонський просп.;2;79;10;Оболонь;16;6А;59,8;11
1893;167000;Шевченківський;Сікорського Ігоря вул. (Танкова);2;70;9;Сирець;25;4г;39;13
1894;95000;Голосіївський;Павла Лі пров. (Московський);1;51;5;Виставковий центр;7;2б;21;15
1895;129000;Дарницький;Дніпровська наб.;1;60;14;Осокорки;24;14б;18;24
1896;70000;Голосіївський;Глушкова академіка просп.;1;47;21;Іподром;24;9в;17;13
1898;108000;Святошинський;Берестейський просп. (Перемоги);1;45;16;Нивки;17;67;15;20
1900;135000;Оболонський;Північна вул.;3;81;6;Героїв Дніпра;16;6;43;17
1901;240000;Печерський;Лютеранська вул.;4;96;4;Хрещатик;4;21/12;67;10,3
1902;230000;Подільський;Борисоглібська вул.;3;115;4;Поштова площа;5;16В;71;10
1903;96000;Оболонський;Героїв Дніпра вул.;3;70,2;6;Героїв Дніпра;9;12Б;42;8
1904;88000;Печерський;Велика Васильківська вул. (Червоноармійська);2;43,5;5;Палац Україна;9;101;28,8;6,7
1905;159999;Голосіївський;Столичне шосе;3;80;21;Видубичі;26;1;43;20
1906;81000;Шевченківський;Коперника вул.;1;31;25;Лук'янівська;26;3;16;8
1907;68500;Шевченківський;Герцена вул.;1;27,1;7;Дорогожичі;26;35;16;5
1909;158000;Шевченківський;Золотоустівська вул.;2;79;6;Університет;19;25;37;17
1910;680000;Печерський;Ділова вул.;4;186;21;Олімпійська;23;4;105;25
1915;69700;Шевченківський;Глибочицька вул.;1;36,6;18;Контрактова площа;25;73;21;8
1916;120000;Подільський;Верхній Вал вул.;3;70;2;Контрактова площа;3;40;45;10
1917;68000;Голосіївський;Заболотного академіка вул.;2;47,5;20;Теремки;25;15б;22;6,8
1918;115000;Печерський;Євгена Коновальця вул. (Щорса);3;76;7;Печерська;9;37;48;8
1922;180000;Печерський;Євгена Коновальця вул. (Щорса);2;69;19;Печерська;24;34а;20;25
1923;119000;Шевченківський;Тургенєвська вул.;2;52;2;Університет;5;2;31;9
1924;100000;Святошинський;Стуса Василя вул.;2;65;1;Житомирська;25;7Б;32;11
